Название;Жанр;Режиссер;Страна;Год
Американский огурчик;кинокомедия;Брэндон Трост, [англ.];США;2020
Американский оборотень в Париже;комедия ужасов;Энтони Уоллер, [англ.];;1997
Американский ниндзя 5;экшн;Бобби Джин Леонард;США;1993
Американский ниндзя 4: Разрушение;боевик;Седрик Сандстром;США;1991
Американский ниндзя 3: Кровавая охота;боевик;Седрик Сандстром;США;1989
Американский ниндзя 2;боевик;Сэм Фёрстенберг;США;1985
Американский ниндзя;боевик;Сэм Фёрстенберг;;1985
Американский неудачник;биографический, спорт;Эндрю Эрвин, [англ.], Джон Эрвин, [англ.];США;2021
Американский милкшейк;комедия, 1;Марико Манро, [вд], 2, Давид Андалман, [вд], 2;США;2013
Американский киборг: Стальной воин;боевик, постапокалиптика;Боаз Дэвидсон;США;1993
Американский жиголо;мелодрама;Пол Шредер;США;1980
Американский дьявол;триллер;Эш Эвилдсен;США;2017
Американский друг;драма;Вим Вендерс;;1977
Американский дедушка;Комедия;Иван Щёголев;Россия;1993
Американский грайндхаус;документальный;Элайджа Дреннер;США;2010
Американский боевой корабль;мокбастер, 3, 4, научно-фантастический фильм, боевик, 5, вторжение пришельцев, фильм-триллер, и, военный фильм;Тандер Левин, [вд];США;2012
Американские приключения;боевик, приключенческий фильм, исторический фильм;Саммо Хун;Гонконг;1997
Американские молнии;спортивный, драматический фильм;Джон Бэдэм;США;1985
Американские животные;криминальная, драма;Барт Лэйтон;;2018
Американские детки;Комедия, Драма;Джош Столберг;США;2005
Американские граффити;комедийная драма, история взросления;Джордж Лукас;США;1973
Американские горки;криминальная драма, триллер, боевик;Джеб Стюарт;США;1997
Американская трагедия;судебная драма;Лоуренс Шиллер, [англ.];США;
Американские бродяги;комедия, роуд-муви, боевик;Майкл Коверт;США;1996
Артём и Ева;документальный фильм, драма;Евгений Милых;;2023
Артём;историко-революционный, фильм-биография, драма;Николай Кошелев, , Валентин Морозов;СССР;1978
Артек. Сквозь столетия;комедия, приключения, фантастика;Карен Захаров, Армен Ананикян;Россия;2025
Артек. Большое путешествие;комедия, приключения, фантастика;Карен Захаров, Армен Ананикян;Россия;2022
Арт-колледж 1994;драма, и, чёрная комедия;Лю Цзянь;Китай;2023
Арсенал;исторический фильм;Александр Довженко;СССР;1929
Арсен Люпен;боевик, приключенческий фильм, криминальный фильм, мелодрама;Жан-Поль Саломе;;2004
Арсен;драма, исторический фильм;Михаил Чиаурели;СССР;1937
Аромат любви Фанфан;мелодрама, комедия;Александр Жарден;Франция;1993
Аромат кукурузы;драма;Джанни Да Кампо;Италия;1986
Аромат зелёной папайи;драма, мелодрама, музыкальный фильм;Чан Ань Хунг;;1993
Аромат дыни в Самарканде;драма, комедия;Али Хамраев;Узбекистан;2021
Арнульф Райнер;экспериментальное кино;Петер Кубелка;Австрия;1960
Арн: Рыцарь-тамплиер;исторический фильм;Петер Флинт;;2007
Арн: Королевство в конце пути;исторический фильм;Петер Флинт;;2008
Армянский киноконцерт;музыкальный фильм, и, короткометражный фильм;Патвакан Бархударян;;1941
Армянский вопрос;документальный;Андрей Буровский, Григорий Жгилёв;Россия;2017
Армянская рапсодия;документальный;Гарри Кананян, Сезар Кананян;Бразилия;2012
Армия Франкенштейна;ужасы;Ричард Рапхорст;;2013
Армия теней;драма, военный фильм;Жан-Пьер Мельвиль;;1969
Армия мертвецов;фильм о зомби, фильм-ограбление, постапокалиптика;Зак Снайдер;США;2021
Армия воров;комедия, фильм-ограбление;Маттиас Швайгхёфер;;2021
Армия семерых бойцов;боевик, военная драма;Чжан Чэ, Сюн Тинъу, (сорежиссёр), У Ма, [англ.], (сорежиссёр);Гонконг;1976
Армия тьмы;комедия, тёмное фэнтези;Сэм Рэйми;США;1992
Армия преступников;военный фильм, 1, 2, […], и, драма, 1, 2, […];Робер Гедигян, 1, 3, […];Франция;2009
Армия Бранкалеоне;комедия, приключения;Марио Моничелли;;1966
Армия «Трясогузки» снова в бою;приключения;Александр Лейманис;СССР;1968
Армия;фильм-драма;Кэйсукэ Киносита;Япония;1944
Армия «Трясогузки»;приключения;Александр Лейманис;СССР;1964
Армида, драма одной невесты;драма;Бруно Маттеи, 1;Италия;1970
Арми жива!;байопик, драма;Йорн Доннер;Финляндия;2015
Арман;драма;Дооронбек Садырбаев;СССР;1975
Арман;драма, 1;Хальвдан Ульман Тёндель, [англ.];;2024
Армагеддон;фильм-катастрофа, драма, фантастика;Майкл Бэй;США;1998
Армагеддец;научно-фантастическая комедия, Альтернативный рок, инди-рок, мэдчестер, альтернативная танцевальная музыка, брит-поп, психоделический рок, данс-поп;Эдгар Райт;Великобритания;2013
Армагеддон;драма;Михаил Израилев;СССР;1962
Армавир;драма;Вадим Абдрашитов;СССР;1991
Арли: второй Париж;Документальное кино;Идриссу Моракпай;;2007
Арлетт;мелодрама, комедия, криминальный фильм;Клод Зиди;Франция;1997
Арлекин;политический триллер, [вд];Саймон Уинсер;Австралия;1980
Арлезианка;драма;Альбер Капеллани;Франция;1908
Аркадская дева;драматический фильм;Дэвид Уорк Гриффит;США;1910
Аркадия;драма, роуд-муви, подростковое кино;Оливия Сильвер;США;2012
Аркадий Райкин;документальный фильм;Марина Голдовская;СССР;1975
Арк: Ковчег Времени;фантастика,, триллер;Тони Эллиотт;;2016
Ария;музыкальный фильм;Николас Роуг, Билл Брайден, Чарльз Старридж, Жан-Люк Годар, Жульен Темпл, Брюс Бирсфорд, Роберт Олтмен, Фрэнк Роддэм, Кен Рассел, Дерек Джармен;Великобритания;1987
Ариэль;драма, фантастика, экранизация;Евгений Котов;;1992
Ариэль;драма;Аки Каурисмяки;Финляндия;1988
Арифметика убийства;детективный фильм;Дмитрий Светозаров;СССР;1991
Аритмия;драма;Борис Хлебников;;2017
Аристократы;документальный фильм, комедия;Пенн Джиллетт, Пол Провенца, [англ.];США;2005
Аристократы;экранизация, драма;Дени де Ла Пательер;Франция;1955
Ариран;документальный фильм, и, Автобиографический фильм, [вд];Ким Ки Дук;Республика Корея;2011
Ариран;боевик, и, драма;На Унгю;Корея;1926
Аринка;комедия;Юрий Музыкант, Надежда Кошеверова;СССР;1939
Аризонская мечта;трагикомедия;Эмир Кустурица;;1993
Аризона Кольт возвращается;вестерн;Серджо Мартино;;1970
Арианна;драма;Карло Лаванья;Италия;2015
Арест карманника;детективный фильм;Бирт Акрес;Великобритания;1895
Арена смерти;боевик, приключенческий фильм;Тэн Симояма;Япония;2002
Арена смелых;музыкально-цирковое представление, документальный фильм, фильм-концерт;Сергей Гуров, Юрий Озеров;СССР;1953
Арена неистовых;драма, исторический фильм;Михаил Чиаурели;СССР;1986
Арена;драма;Эдуард Бордуков;Россия;2012
Арена;боевик, триллер;Джона Луп;США;2011
Арена;фантастика;Питер Манугиан;;1989
Арена;драма;Самсон Самсонов;СССР;1967
Аревик;драма;Аркадий Айрапетян, Арнольд Агабабов;СССР;1978
Арденны;драма, 1;Робин Пронт, 1, 2;Бельгия;2015
Аргонавты: В поисках золотого руна;пеплум, и, фэнтези;Риккардо Фреда;;1960
Аргентинец в Нью-Йорке;комедия, драма, Латин-поп, Саундтрек;Хуан Хосе Хусид;Аргентина;1998
Аргентина. Интервью с мёртвым наркодилером;триллер, драма;Михаил Марескин;Россия;2008
Аргентина, 1985;драма, юридическая драма, историческая драма, и, исторический фильм;Сантьяго Митре, [вд], 2;Аргентина;2022
Аргайл: Супершпион;комедийный боевик, шпионская фантастика, Музыка к фильму;Мэттью Вон;;2024
Арвентур;мультфильм, фэнтези, экранизация;Ирина Евтеева;Россия;2015
Арбитр;детективный фильм, триллер;Иван Охлобыстин;Россия;1992
Арахисовый сокол;бадди-муви, приключения;Тайлер Нилсон, Майк Шварц;США;2019
Арарат;драма;Атом Эгоян;;2002
Арам Артунян;драма;Роберт Кешишян;Франция;2002
Араки Матаэмон: Дуэль на перекрестке у лавки ключей;драма, приключения;Кацуо Мори;Япония;1952
Аравт;военный;Доржийн Золбаяр, У. Шагдарсүрэн;;2012
Арабские приключения;фэнтезийный фильм, приключенческий фильм;Кевин Коннор;Великобритания;1979
Арабские приключения;фэнтезийный фильм, приключенческий фильм;Стив Бэррон;;2000
Арабские ночи;приключения, 2, боевик, и, фильм о цирке, [вд];Джон Роулинз;США;1942
Арабская любовь;мелодрама;Джером Сторм;США;1922
Арабески на тему Пиросмани;документальный фильм, 1;Сергей Параджанов;СССР;1986
Арабеска;Триллер;Стэнли Донен;США;1966
Арабелла;драма;Александр Герц;Польша;1917
Арабелла — дочь пирата;сказка;Пеэтер Симм;СССР;1982
Ар-хи-ме-ды!;музыкальная комедия;Александр Павловский;СССР;1975
Аптечный ковбой;криминальная драма;Гас Ван Сент;США;1989
Аптекарь Мельхиор;криминал, драма;Эльмо Нюганен;Эстония;2022
Аптекарша;новелла, экранизация;Станислав Говорухин;СССР;1964
Апрельские сны;лирическая, комедия;Валерий Ахадов;СССР;1980
Апрельские капитаны;драма, исторический;Мария де Медейруш;;2000
Апрельские дожди;драма;Эндрю Робинсон;США;2009
Апрельская рыбка;комедия;Жиль Гранжье;Франция;1954
Апрель;драма;Деа Кулумбегашвили;;2024
Апрельская любовь;музыкальный фильм;Генри Левин;США;1957
Апрель;криминальная, драма;Константин Мурзенко;Россия;2001
Апрель;драма, мелодрама, притча;Отар Иоселиани;СССР;1961
Апперкот для Гитлера;Военный фильм, Драма;Денис Нейманд;Россия;2016
Аппассионата;;Юрий Вышинский;СССР;1963
Аппалуза;вестерн;Эд Харрис;США;2008
Апофеоз;короткометражка;Макс Складановский;Германская империя;1895
Апофегей;драма;Станислав Митин;Россия;2013
Апостол;Ужасы, Драма, Фантастика;Гарет Эванс;;2018
Апостол;драма;Роберт Дюваль;США;1997
Аполлон-13;приключения, история, драма;Рон Ховард;США;1995
Апология убийства;нуар;Сэм Ньюфилд;США;1945
Аполлон-10½: Приключение космического века;анимационный научно-фантастический фильм;Ричард Линклейтер;США;2022
Аполлон 18;псевдодокументальный, научно-фантастический, фильм ужасов;Гонсало Лопес-Гальего;;2011
Апокриф: музыка для Петра и Павла;драма, фильм-биография;Адель Аль-Хадад;Россия;2004
Апокриф;драма, короткометражный;Андрей Звягинцев;;2009
Апокалипсис: Откровение Иоанна Богослова;религиозный фильм, [вд], и, драма;Раффаэле Мертес, [вд];;2002
Апокалипсис: Вторая мировая война;документальный;Даниэль Касателле, Изабелла Кларк;Франция;2009
Апокалипсис сегодня;военный фильм, драма;Фрэнсис Форд Коппола;США;1979
Апокалипсис;драма, триллер, приключения, исторический;Мел Гибсон;;2006
Апокалипсис каннибалов;фильм ужасов, боевик;Антонио Маргерити, 1;;1980
Апогей страха;научно-фантастический фильм;Ричард Аллен Гэрриот;США;2012
Аплодисменты, аплодисменты…;Муз. фильм;Виктор Бутурлин;СССР;1984
Апельсиновый сок;драма;Андрей Прошкин;Россия;2010
Апелляция;драма;Валерий Гурьянов;СССР;1987
Апгрейд;научная фантастика, триллер, киберпанк, детективный фильм;Ли Уоннелл;;2018
Апачи;вестерн;Готфрид Кольдиц;;1974
Апартаменты 1303;фильм ужасов;Мишель Таверна;;2012
Аня;приключения, экранизация;Ольга Преображенская, Иван Правов;СССР;1927
Анютина дорога;детский,, драма, приключенческий;Лев Голуб;СССР;1967
Анюта;телевизионный балет;А. Белинский, В. Васильев;СССР;1982
Анфиса;драма;Яков Протазанов;Российская империя;1912
Анчартед: На картах не значится;приключенческий боевик;Рубен Флейшер;США;2022
Антураж;комедия, драма;Даг Эллин;США;2015
Антуан и Антуанетта;комедия;Жак Беккер;Франция;1947
Антропофаг;фильм ужасов;Джо Д'Амато;Италия;1980
Антропоид;военная драма;Шон Эллис, [англ.];;2016
Антрацит;социальная драма, производственный фильм;Александр Сурин;СССР;1971
Антракт;немое кино, фэнтези, и, экспериментальный кинематограф;Рене Клер;Франция;1924
Антошу корсет погубил;комедия;Эдвард Пухальский;Российская империя;1916
Антоша Рыбкин;военный фильм, пропаганда, кинокомедия;Константин Юдин;СССР;1942
Антония: Портрет женщины;документальный;Джуди Коллинз, Джилл Годмилоу, [англ.];США;1974
Антония;драма, комедия;Марлен Горрис;;1995
Антонио Гауди;документальный фильм;Хироси Тэсигахара;Япония;1984
Антонина обернулась;драма;Григорий Никулин;Россия;2007
«Антоний и Клеопатра»;историческая драма;Чарлтон Хестон;;1972
Антоний и Клеопатра;драма;Чарльз Кент;США;1908
Антон Шпелец, снайпер;комедия;Мартин Фрич;Чехословакия;1932
Антон Чехов;драма, биография, исторический;Рене Фере;Франция;2015
Антон тут рядом;документальное кино;Любовь Аркус;Россия;2012
Антихрист;драма, ужасы;Ларс фон Триер;;2009
Антон Иванович сердится;комедия;Александр Ивановский;СССР;1941
Антихрист;фантастическая драма;Эдвард Пухальский;Российская империя;1915
Антифауст;мистика, драма;Георг Фризен;;1993
Антитела;триллер, ужасы, драма;Кристиан Альварт;Германия;2005
Антисемитизм в XXI веке: Возрождение;документальный фильм;Эндрю Голдберг, [вд];США;2007
Антисекс;драма;Ренато Кастеллани, Марко Феррери, Франко Росси;;1964
Антимоз Ивериели;Исторический;Гиули Чохонелидзе;Грузия;2001
Антикиллер Д. К.: Любовь без памяти;боевик, Детектив;Эльдар Салаватов;Россия;2009
Антикиллер 2: Антитеррор;Боевик;Егор Михалков-Кончаловский;Россия;2003
Антикиллер;боевик;Егор Кончаловский;Россия;2002
Антидурь;комедия, боевик;Владимир Щегольков;Россия;2007
Антивирус;фильм ужасов, 3, 4, антиутопический фильм, научно-фантастический фильм, и, биопанк;Брэндон Кроненберг;;2012
Антек-полицмейстер;комедия;Юлиуш Гардан;Польша;1935
Антенна;фэнтези, 2, 3, научно-фантастический фильм, и, драма;Эстебан Сапир, [вд], 2, 3, […];Аргентина;2007
Антебеллум;психологический триллер;Джерард Буш, Кристофер Ренц;США;2020
Антарктическая повесть;драма, приключения;Сергей Тарасов;СССР;1979
Антарктическая история;приключения, 1, и, драма;Корэёси Курахара, 1, 2;Япония;1983
Ансамбль;комедия, драма, мюзикл;Ави Нешер;Израиль;1978
Анора;романтическая, комедийная драма;Шон Бейкер;США;2024
Анонимные романтики;романтическая комедия;Жан-Пьер Амери;;2010
Аноним;фильм-биография;Роланд Эммерих;;2011
Анон;антиутопический фильм, научно-фантастический фильм, 1, кинофантастика, фильм-триллер, 1, и, киберпанк;Эндрю Никкол;Великобритания;2018
Аннычка;драма, военный;Борис Ивченко;СССР;1968
Аннушка;драма;Борис Барнет;СССР;1959
Аннигиляция;научно-фантастический, фильм ужасов;Алекс Гарленд;;2018
Аннетт;мюзикл;Леос Каракс;;2021
Анна: от 6 до 18;документальный фильм, фильм-биография, исторический фильм;Никита Михалков;;1993
Анна Эйдеш;драма, экранизация;Золтан Фабри;Венгрия;1958
Анна Тристер;Мелодрама;Леа Пул;Канада;1986
Анна свободна;Мелодрама;Венди Джо Карлтон;США;2009
Анна Политковская: семь лет на линии фронта;Документальный фильм;Мария Новикова;Нидерланды;2008
Анна Павлова;драма, биография, исторический, музыкальный;Эмиль Лотяну;;1983
Анна Николь;биография;Киони Уоксмен;США;2007
Анна на шее;драма;Исидор Анненский;СССР;1954
Анна Лукаста;Фильм нуар, Мелодрама;Ирвинг Рэппер;США;1949
Анна Кристи;драма;Кларенс Браун, 1, 2;США;1930
«Анна Каренина. История Вронского»;драма;Карен Шахназаров;Россия;2017
Анна Каренина;историческая, романтическая драма;Джо Райт;;2012
Анна Каренина;драма;Сергей Соловьёв;Россия;2009
Анна Каренина;драма, любовная история;Бернард Роуз;;1997
«Анна Каренина»;драма;Александр Зархи;СССР;1967
Анна Каренина;мелодрама;Саймон Лэнгтон, [англ.];США;1985
Анна Каренина;драма, /, мелодрама;Жюльен Дювивье;Великобритания;1948
Анна Каренина;мелодрама;Кларенс Браун;США;1935
Анна Каренина;драма, экранизация;Фридрих Цельник;Веймарская республика;1920
Анна Каренина;драма;Владимир Гардин;Российская империя;1914
Анна Каренина;драма, немое кино, и, экранизация романа, [вд];Морис Метр;Российская империя;1911
Анна Каренина;фильм-балет;Маргарита Пилихина;СССР;1974
Анна Каренина;драма;Кристиан Дюгей;;2013
Анна Карамазофф;Драма;Рустам Хамдамов;;1991
Анна и Элизабет;драма;Франк Висбар;Нацистская Германия;1933
Анна и король;мелодрама, драма, исторический;Энди Теннант;США;1999
Баба Джун;драма;Yuval Delshad, [вд], 1;Израиль;2015
Баария;драма, комедия;Джузеппе Торнаторе;;2009
Ба-бах;комедия, /, фантастика;Грегг Араки;;2010
Аэропорт-79: «Конкорд»;фильм-катастрофа, боевик, драма, триллер;Дэвид Лоуэлл Рич;США;1979
Аэропорт со служебного входа;производственная драма;Борис Яшин;СССР;1986
Аэропорт 1975;фильм-катастрофа, драма;Джек Смайт;США;1974
Аэропорт 77;фильм-катастрофа;Джерри Джеймсон;США;1977
Аэропорт;трагикомедийный, триллер;Джордж Ситон;США;1970
Аэроплан!;чёрная комедия;Джим Абрахамс, Дэвид Цукер, Джерри Цукер;США;1980
Аэроплан II: Продолжение;комедия;Кен Финклмен, [англ.];США;1982
Аэронавты;экшн, приключение, биография;Том Харпер;;2019
Аэроград;драма, кинопоэма;Александр Довженко;СССР;1935
Аэро НТ-54;детективный фильм, фантастика;Николай Петров;СССР;1925
Аэлита, не приставай к мужчинам;трагикомедия;Георгий Натансон;СССР;1988
Аэлита;Фантастика;Яков Протазанов;СССР;1924
Ашик-Кериб;драма;Давид Абашидзе, Сергей Параджанов;СССР;1988
Ах, водевиль, водевиль…;комедия, водевиль, мюзикл;Георгий Юнгвальд-Хилькевич;СССР;1979
Ашанти;боевик, приключенческий фильм, драма, триллер;Ричард Флейшер;США;1979
Ахиллес и черепаха;комедия;Такэси Китано;Япония;2008
Ах, эти брюки;фарс, кинокомедия;Эдвард Пухальский;;1914
Ах, мужчины! Ах, женщины!;комедия;Наннэлли Джонсон;США;1957
Ах! Эти прекрасные вакханки;комедия;Жан Лубиньяк;;1954
«Ахап Ереч» Роальда Даля;экранизация романа, [вд];Дервла Уолш;Великобритания;2015
Ах, зачем эта ночь так была хороша;драма;Александр Аркатов;Российская империя;1916
Афула Экспресс;комедийная драма;Julie Shles, [вд], 1;Израиль;1997
Афтершок;триллер, фильм ужасов;Николас Лопес;;2012
Афросамурай: Воскрешение;фантастика, драма, боевик, самурайский боевик;Фумитомо Кидзаки;Япония;2009
Африканыч;мелодрама;Михаил Ершов;СССР;1970
Африканский лев;документальный фильм о природе, [вд];Джеймс Алгар, 2, 1;США;1955
Африканская королева;военная мелодрама;Джон Хьюстон;;1951
Африка: Кровь и красота;документальное кино;Сергей Ястржембский;;2012
Африка;детский фильм, семейный фильм, военный фильм;Дарья Биневская, и, Надя Славецкая;Россия;2021
Афоня;лирическая трагикомедия, мелодрама;Георгий Данелия;СССР;1975
Афина;Триллер, драма;Ромен Гаврас;Франция;2022
Афёры, музыка, любовь…;комедия;Георгий Юнгвальд-Хилькевич;Россия;1997
Аферисты: Дик и Джейн развлекаются;комедия, детективный фильм;Дин Паризо;США;2005
Аферисты;криминальный триллер;Бенджамин Карон;США;2023
Аферисты поневоле;комедия, -, боевик;Джеймс Окли;;2018
Аферисты;комедия;Майкл Мартин;США;1998
Аферисты;комедия;Всеволод Шиловский;СССР;1990
Аферистка;сатирический, чёрно, -, комедийный триллер;Дж. Блэйксон;США;2020
Аферист;драма, криминальный фильм, исторический фильм;Джеймс Дирден;Великобритания;1999
Аферист из Tinder;документальный фильм, и, настоящее преступление;Фелисити Моррис, [вд];Великобритания;2022
Афера Цеплиса;драма;Роланд Калныньш;СССР;1972
Афера Томаса Крауна;фильм-ограбление, и, романтический фильм;Майкл Б. Джордан;США;2027
Афера Томаса Крауна;детектив, мелодрама;Джон Мактирнан;США;1999
Афера Томаса Крауна;детективный фильм;Норман Джуисон;США;1968
Афера под прикрытием;криминальная драма;Брэд Фурман, [англ.];;2016
Афера Стивена Гласса;драма;Билли Рэй;США;2003
Афера по-американски;криминальная, чёрная комедия;Дэвид О. Расселл;США;2013
Афера по-голливудски;комедийный боевик;Джордж Галло;США;2020
Афера Оливера Твиста;криминальный фильм;Мартин Оуэн;Великобритания;2021
Афера на Тринидаде;Фильм нуар, Триллер, Мелодрама;Винсент Шерман;США;1952
Афера доктора Нока;трагикомедия;Лоррэйн Леви;Франция;2017
Афера века;фильм-триллер, криминальный фильм, комедия, и, фильм-ограбление;Ариэль Виноград;Аргентина;2020
Афера в Майами;шпионский фильм, и, драма;Оливье Ассаяс;;2019
Афера;криминальный фильм, триллер;Джеймс Фоули;США;2003
Афера;криминальный фильм;Евгений Лаврентьев;Россия;2001
Афера;фильм-ограбление, бадди-муви;Джордж Рой Хилл;США;1973
Афганцы;документальный фильм, 1;Питер Козмински, [вд];Великобритания;1988
Афганский излом;драма;Владимир Бортко;;1991
Афганские рыцари;мистический триллер;Аллан Хэромон;;2007
Афганская война;военный фильм, документальный фильм;Алексей Крол, Татьяна Крол;Россия;2010
Афганец;драма;Владимир Мазур;СССР;1991
Аутоэротика;комедийная драма;Джо Сванберг, [вд], 1;США;2011
Аустерлиц;документальный фильм;Сергей Лозница;Германия;2016
Аутло;драма;Ксения Ратушная, [вд];Россия;2019
Аустерлиц;драма, исторический фильм;Абель Ганс;;1960
Ауринко в Адажио;драматический фильм;Элизе Джуниор Сен-Прё;США;2021
Аура;криминальный фильм, драма, триллер;Фабиан Бьелински;;2005
Аукцион;драма;Валерий Курыкин;СССР;1983
Аудиенция;комедия;Марко Феррери;;1972
Ау, ограбление поезда;боевик;Хабиб Файзиев;СССР;1991
Ау-у!;комедия;Виктор Крючков, Геральд Бежанов, Юрий Горковенко;СССР;1975
Аты-баты, шли солдаты…;военный фильм, драма;Леонид Быков;СССР;1976
Аттракцион;драма, притча;Отар Шаматава;Грузия;1994
Аттила-завоеватель;исторический;Дик Лоури;;2001
Аттестат зрелости;драма;Татьяна Лукашевич;СССР;1954
Аттила;пеплум;Пьетро Франчиши;;1954
Аттенберг;драма;Афина Рахель Цангари;Греция;2010
Аттестат зрелости;криминальный фильм;Вольфганг Петерсен, 2;ФРГ;1977
Атрагон: Летающая суперсубмарина;приключения, токусацу, драма;Исиро Хонда;Япония;1963
Атомный Человек против Супермена;фантастика;Спенсер Гордон Беннет;США, 2;1950
Атомный поезд;фильм-катастрофа, боевик, драма, триллер;Дэвид Джексон, Дик Лоури;США, 1;1999
Атомный Иван;мелодрама, комедия;Василий Бархатов;Россия;2012
Атомные кинематографисты: За кадром;документальный, научно-популярный фильм, 1;Питер Куран;США;1999
Атомная школа: Возвращение. Часть 2;научная фантастика, комедия, хоррор;Ллойд Кауфман;США;2017
Атомная школа: Возвращение. Часть 1;научная фантастика, комедия, хоррор;Ллойд Кауфман;США;2013
Атомная школа 3;научная фантастика, комедия, хоррор;Эрик Лузил;США;1994
Атомная школа 2;научная фантастика, комедия, хоррор;Эрик Лузил;США;1991
Атомная школа;фантастика, хоррор;Ричард Хайнс, Майкл Херц, Ллойд Кауфман;США;1986
Атомная подводная лодка;научная фантастика;Спенсер Гордон Беннет;США;1959
Атмосфера;экспериментальный, кинематограф;Андрес Уерберг;Швеция;2020
Атлас;научно-фантастический, боевик, -, технотриллер;Брэд Пейтон, [англ.];США;2024
Атланты и кариатиды;драма;Александр Гуткович, Михаил Ганкин;СССР;1980
Атлантический рубеж;фантастика, приключения, боевик, пародия;Джаред Кон;США;2013
Атлантис;документальный фильм, музыкальный фильм;Люк Бессон;;1991
Атлантика;сверхъестественная фантастика, романтическая, драма;Мати Диоп;;2019
Атлантик-Сити;криминальная драма;Луи Маль;;1980
Атлантик;боевик, драма, фильм-катастрофа;Эвальд Андре Дюпон;Великобритания;1929
Атлантида Русского Севера;Документальное кино;Софья Горленко;Россия;2015
Атлантида, погибший континент;приключения, фантастика;Джордж Пал;США;1961
Атлантида;драма;Васянович, Валентин Николаевич;Украина;2019
Атлантида;научно-фантастический, фильм ужасов;Ксавье Жанс;;2017
Атлантида;мелодрама;Александр Павловский;;2002
Атлантида;фэнтези, 1, приключения, 2, научно-фантастический фильм, экранизация литературного произведения, [вд], и, драма;Георг Вильгельм Пабст, 1, 3;;1932
Атлант расправил плечи: Часть 3;научно-фантастический фильм, 4, 5, драма, 4, 5, фильм-тайна, 4, 5, антиутопический фильм, экранизация романа, [вд], и, политический триллер, [вд];Джеймс Манера;США;2014
Атлантида;немое кино, и, фэнтези;Жак Фейдер, 1, 2;;1921
Атла́нт расправил плечи: Часть 2;фантастика, драма, детектив;Джон Путч;США;2012
Атлант расправил плечи: Часть 1;драма, фантастика;Пол Йоханссон;США;2011
Аткинс;Вестерн, Драма;Helge Trimpert;;1985
Атаман Кодр;драма, киноповесть;Михаил Калик, Борис Рыцарев, Ольга Улицкая;СССР;1958
Аталия;трагедия;Мишель Карре, Альбер Капеллани;Франция;1910
Аталанта;мелодрама;Жан Виго;Франция;1934
Атакующая группа «Зет»;боевик;Тим Бёрсталл, [англ.];Австралия;1982
Атаки 26/11;триллер, докудрама, криминальный;Рам Гопал Варма, 1;Индия;2013
Атака титанов;фантастика, драма;Синдзи Хигути;Япония;2015
Атакан. Кровавая легенда;фильм ужасов;Александр Гришин;Россия;2020
Атака пауков;ужасы, чёрная комедия;Эллори Элкайем, [англ.];;2002
Атака на Пёрл-Харбор;военный, драма, биография;Идзуру Нарусима;Япония;2011
Атака мертвецов: Осовец;военный;Василий Чигинский;;2018
Атака лёгкой кавалерии;исторический фильм, военный фильм, 1, и, драма;Тони Ричардсон;Великобритания;1968
Атака лёгкой кавалерии;мелодрама;Майкл Кёртис;США;1936
Атака лёгкой кавалерии;драматический фильм;Джеймс Сирл-Доули;США;1912
Атака куриных зомби;чёрная комедия, комедия ужасов, мюзикл;Ллойд Кауфман;США;2006
Атака крабов-монстров;ужасы;Роджер Корман;США;1956
Атака Коммандос;боевик, 1, и, военный фильм;Бруно Маттеи;Италия;1987
Атака Годзиллы;приключения, детектив, фантастика, семейный;Исиро Хонда;Япония;1969
Атака;кинодрама;Игорь Николаев;СССР;1986
Ася;драма;Рути Прибар;Израиль;2020
Ася;мелодрама;Иосиф Хейфиц;;1977
Асы в небе;драма;Джек Голд;;1976
Асфальтовые джунгли;драма, 1, 2, фильм-триллер, 2, и, экранизация романа, [вд];Жан-Стефан Совер, [вд], 2;США;2023
Асфальтовые джунгли;нуарный, фильм-ограбление;Джон Хьюстон;США;1950
Асфальтовое солнце;молодёжный,, драма;Илья Хотиненко;Россия;2021
Асфальт;драма, и, немое кино;Джоэ Май;Германия;1929
Астронавт;научно-фантастический, триллер;Джесс Варли;США;2025
Астролог;романтика, драма, фантастика;Крейг Денни;США;1976
Астрал. Спуск к дьяволу;фильм ужасов;Саша Сибли;США;2024
Астрал. Реинкарнация;мистический, фильм ужасов;Эрик Матти, [англ.];Филиппины;2019
Астрал. Ночь в могиле;фильм ужасов, триллер;Джоко Анвар;Индонезия;2024
Астрал. Ночной кошмар;фильм ужасов, триллер;Сидхарт Тат;Индонезия;2024
Астрал. Новые души;фильм ужасов;Гинанти Рона;Индонезия;2022
Астрал. Медиум;фильм ужасов;Дэмиэн Маккарти;Ирландия;2024
Астрал. 13-й этаж;ужасы, триллер;Дэйн Сэйд;Малайзия;2022
Астрал: Новое измерение;ужасы;Крис Мул;Великобритания;2018
Астрал: Глава 2;фильм ужасов;Джеймс Ван;США;2013
Астрал 6;фильм ужасов о сверхъестественном;Джейкоб Чэйз, [вд];США;2026
Астрал;фильм ужасов, мистика, 1;Джеймс Ван;;2010
Астрал 5: Красная дверь;фильм ужасов;Патрик Уилсон;США;2023
Астрал 4: Последний ключ;фильм ужасов;Гарри Робител;Великобритания;2018
Астрал 3;фильм ужасов;Ли Уоннелл;США;2015
Астрал;фильм ужасов о сверхъестественном;;США;2010
